;;;;;;;;;;;;;;;;;;;;;
59;20/04/1997;2;8;13;28;34;54;0;90;5351;0,00;7.312,34;122,75;;;0,00;0,00;789.733,42;Sim;Não;
60;27/04/1997;3;14;15;20;21;38;0;129;7914;0,00;7.111,47;115,69;;;0,00;0,00;9.478.249,26;Sim;Não;
61;4/5/1997;8;18;29;42;44;59;0;52;3866;0,00;18.902,94;253,76;;;0,00;0,00;10.657.792,45;Sim;Não;
62;11/5/1997;6;8;13;24;31;52;0;119;8613;0,00;9.968,70;137,46;;;0,00;0,00;12.081.323,45;Sim;Não;
63;18/05/1997;9;25;26;40;41;49;1;82;6359;13.680.019,57;16.246,91;209,10;;MG;0,00;0,00;0,00;Não;Não;
64;25/05/1997;8;12;23;50;54;60;0;29;2441;0,00;23.309,96;276,38;;;0,00;0,00;811.186,58;Sim;Não;
65;1/6/1997;1;5;20;25;32;34;0;61;4932;0,00;11.542,37;142,48;;;0,00;0,00;1.656.088,09;Sim;Não;
66;8/6/1997;12;13;15;26;33;48;0;102;7686;0,00;8.054,25;106,68;;;0,00;0,00;2.641.927,81;Sim;Não;
67;15/06/1997;12;14;17;27;47;52;0;83;5479;0,00;10.617,25;160,52;;;0,00;0,00;3.699.406,44;Sim;Não;
68;22/06/1997;1;3;12;13;53;59;0;49;4758;0,00;18.496,73;190,11;;;0,00;0,00;4.787.014,46;Sim;Não;
69;29/06/1997;25;34;45;53;56;58;0;55;3661;0,00;17.271,48;258,96;;;0,00;0,00;5.926.931,93;Sim;Não;
70;6/7/1997;17;23;27;40;43;58;0;95;6071;0,00;12.899,52;201,46;;;0,00;0,00;14.883.849,29;Sim;Não;
71;13/07/1997;16;27;33;43;45;53;0;115;7430;0,00;12.451,74;192,35;;;0,00;0,00;16.602.188,45;Sim;Não;
72;20/07/1997;1;19;34;43;44;48;0;85;7982;0,00;19.676,33;209,13;;;0,00;0,00;18.609.174,26;Sim;Não;
73;27/07/1997;25;26;28;45;51;57;1;95;8222;21.026.575,40;21.205,27;244,52;;BA;0,00;0,00;0,00;Não;Não;GANHADOR: BA , SALVADOR
74;3/8/1997;2;24;34;37;38;50;0;40;3321;0,00;18.257,68;219,48;;;0,00;0,00;876.368,71;Sim;Não;
75;10/8/1997;21;24;35;36;37;49;0;70;5032;0,00;12.395,02;172,09;;;0,00;0,00;1.917.550,02;Sim;Não;
76;17/08/1997;8;17;18;23;33;53;0;92;6399;0,00;10.247,61;147,04;;;0,00;0,00;3.048.886,14;Sim;Não;
77;24/08/1997;21;29;40;49;54;57;0;20;2635;0,00;49.648,81;376,09;;;0,00;0,00;4.240.457,60;Sim;Não;
78;31/08/1997;12;22;25;31;32;46;0;103;5984;0,00;9.907,36;170,19;;;0,00;0,00;5.465.006,39;Sim;Não;
79;7/9/1997;2;13;17;25;31;43;1;247;13375;6.770.601,75;4.404,85;81,18;;RS;0,00;0,00;0,00;Não;Não;O ganhador da SENA do Estado do Rio Grande do Sul
80;14/09/1997;23;28;37;40;48;51;0;43;4284;0,00;26.443,00;264,89;;;0,00;0,00;10.953.707,53;Sim;Não;
81;21/09/1997;10;23;41;47;54;60;0;62;4870;0,00;19.453,15;247,17;;;0,00;0,00;12.401.021,68;Sim;Não;
82;28/09/1997;15;18;29;36;51;53;1;77;5889;13.877.826,02;15.982,73;208,57;;BA;0,00;0,00;0,00;Não;Não;Ganhador da SENA do Estado da Bahia.
83;5/10/1997;4;15;16;24;42;57;0;76;4756;0,00;9.408,43;150,04;;;0,00;0,00;858.048,93;Sim;Não;
84;12/10/1997;4;6;10;25;34;40;0;102;5546;0,00;7.539,68;138,40;;;0,00;0,00;1.780.905,80;Sim;Não;
85;19/10/1997;6;15;30;37;45;47;0;45;4312;0,00;17.279,25;179,96;;;0,00;0,00;2.713.984,86;Sim;Não;
86;26/10/1997;6;21;22;34;36;54;0;48;3752;0,00;16.752,96;213,90;;;0,00;0,00;3.678.955,17;Sim;Não;
